Company name,Company domain name,Industry,Segment,Region,Number of employees,Annual revenue,CRM Health Score,PE Backed,Salesforce Account ID
BluePeak Labs 31,bluepeaklabs31.io,Logistics Tech,Mid-Market,Central,305,47085103,83,False,ACC000344
Evergreen Labs 24,evergreenlabs24.ai,SaaS,Enterprise,Mountain,1334,286417840,72,True,ACC000345
Vertex Platform,vertexplatform.com,Cybersecurity,Enterprise,Mountain,3416,757828788,79,True,ACC000346
Catalyst Platform,catalystplatform.net,Ecommerce,Mid-Market,Southeast,217,30623551,70,False,ACC000347
BluePeak Intelligence 8,bluepeakintelligen.com,EdTech,Mid-Market,Mountain,789,154166707,96,False,ACC000348
Nova Systems 83,novasystems83.ai,Logistics Tech,SMB,Southeast,134,31572400,62,True,ACC000349
Keystone Networks 89,keystonenetworks89.net,EdTech,Mid-Market,West,664,60050934,68,False,ACC000350
Cobalt Analytics 36,cobaltanalytics36.io,EdTech,SMB,International,71,16736823,62,False,ACC000351
Pioneer Solutions,pioneersolutions.com,FinTech,Enterprise,West,1530,243924523,82,False,ACC000353
Evergreen Ops 15,evergreenops15.com,Healthcare Tech,SMB,Central,82,8451241,81,False,ACC000354
Evergreen Dynamics 75,evergreendynamics7.net,FinTech,Mid-Market,International,910,202328292,62,False,ACC000356
Nimbus Works 36,nimbusworks36.co,FinTech,Mid-Market,West,669,156050322,64,False,ACC000357
Clearpath Health 19,clearpathhealth19.ai,SaaS,Mid-Market,Southeast,557,57840394,87,False,ACC000359
Clearpath Group 57,clearpathgroup57.net,FinTech,Enterprise,Central,795,160969703,59,False,ACC000360
Signal Markets,signalmarkets.ai,FinTech,Mid-Market,Southeast,458,75717953,84,False,ACC000361
Atlas Markets,atlasmarkets.net,HR Tech,Mid-Market,Central,497,53717629,80,False,ACC000362
Nimbus Platform,nimbusplatform.ai,Healthcare Tech,SMB,Northeast,88,11814537,69,False,ACC000363
Evergreen Systems 95,evergreensystems95.co,HR Tech,Enterprise,Southeast,1815,385702891,51,False,ACC000364
Evergreen Ops,evergreenops.net,SaaS,Enterprise,Central,1914,323220797,67,True,ACC000367
Summit Dynamics 86,summitdynamics86.ai,FinTech,Mid-Market,International,370,62006785,78,False,ACC000368
Bright Platform,brightplatform.ai,EdTech,SMB,West,82,11207975,62,False,ACC000369
Catalyst Dynamics 59,catalystdynamics59.ai,EdTech,SMB,Southeast,254,28215068,65,True,ACC000370
BluePeak Cloud,bluepeakcloud.ai,SaaS,Enterprise,Southeast,1082,113496747,73,False,ACC000371
Apex Group,apexgroup.com,FinTech,Enterprise,International,6000,691503260,46,False,ACC000375
Evergreen Networks 44,evergreennetworks4.net,EdTech,Mid-Market,Southeast,224,26699360,59,False,ACC000376
Northstar Ops 52,northstarops52.com,HR Tech,SMB,Southeast,93,13214514,78,True,ACC000377
Keystone Platform,keystoneplatform.com,HR Tech,Enterprise,Mountain,2827,565927768,62,True,ACC000378
BluePeak Group 78,bluepeakgroup78.co,EdTech,Mid-Market,Northeast,463,78713701,78,True,ACC000380
Clearpath Networks 88,clearpathnetworks8.ai,Healthcare Tech,Mid-Market,International,277,53215407,73,True,ACC000381
Catalyst Works 16,catalystworks16.io,Ecommerce,Enterprise,International,2018,209974641,81,False,ACC000382
BluePeak Platform,bluepeakplatform.co,FinTech,Mid-Market,Northeast,181,21807506,60,False,ACC000383
Ironwood Networks 73,ironwoodnetworks73.io,Logistics Tech,Mid-Market,Central,1796,394826483,68,False,ACC000384
Clearpath Labs 47,clearpathlabs47.com,Logistics Tech,Mid-Market,Mountain,929,196008224,95,True,ACC000385
Apex Dynamics,apexdynamics.ai,SaaS,Enterprise,Central,2769,509465199,30,False,ACC000387
Northstar Data 74,northstardata74.co,Manufacturing Tech,Mid-Market,Northeast,421,77835160,87,False,ACC000388
Evergreen Intelligence 71,evergreenintellige.com,Logistics Tech,Enterprise,Northeast,1221,285246604,62,True,ACC000389
Catalyst Works 6,catalystworks6.co,Cybersecurity,Enterprise,Central,1866,345090481,67,True,ACC000390
Catalyst Software 96,catalystsoftware96.net,Ecommerce,Mid-Market,International,591,121106177,88,False,ACC000391
Vertex Software 28,vertexsoftware28.com,Ecommerce,SMB,Northeast,57,8614492,71,True,ACC000392
Keystone Labs 37,keystonelabs37.io,FinTech,Mid-Market,Mountain,312,51509215,68,True,ACC000394
Meridian Markets 20,meridianmarkets20.net,Cybersecurity,SMB,International,51,6739684,61,True,ACC000395
Meridian Data,meridiandata.com,Healthcare Tech,SMB,Southeast,169,29126654,75,True,ACC000396
Clearpath Markets 43,clearpathmarkets43.net,SaaS,SMB,International,203,23989814,65,False,ACC000397
Cobalt Platform 29,cobaltplatform29.co,HR Tech,Mid-Market,Southeast,1086,109432278,89,False,ACC000398
Nova Cloud 74,novacloud74.co,Ecommerce,Mid-Market,International,264,35242816,57,False,ACC000399
Nimbus Analytics 49,nimbusanalytics49.io,SaaS,Mid-Market,Southeast,656,116433425,74,True,ACC000402
Keystone Analytics 92,keystoneanalytics9.com,SaaS,Mid-Market,Mountain,280,40329824,67,False,ACC000403
Apex Group 17,apexgroup17.co,FinTech,Enterprise,Southeast,1323,127462797,76,False,ACC000405
Cobalt Health 15,cobalthealth15.ai,Ecommerce,Enterprise,Central,1257,161065327,77,False,ACC000406
Atlas Software 68,atlassoftware68.net,Manufacturing Tech,Mid-Market,Mountain,347,66510177,77,False,ACC000411
Bright Dynamics 65,brightdynamics65.co,Healthcare Tech,Enterprise,Mountain,2452,579134868,63,False,ACC000412
Evergreen Networks 99,evergreennetworks9.co,Healthcare Tech,Enterprise,West,2267,237989712,92,True,ACC000414
Nimbus Software 7,nimbussoftware7.com,EdTech,Enterprise,Northeast,2635,612181364,83,False,ACC000415
Keystone Platform 12,keystoneplatform12.net,Manufacturing Tech,SMB,Northeast,339,31014626,82,False,ACC000416
Nimbus Analytics,nimbusanalytics.ai,Healthcare Tech,SMB,Northeast,195,30856377,64,False,ACC000417
Northstar Health 3,northstarhealth3.io,SaaS,Mid-Market,Mountain,490,84301798,82,False,ACC000420
BluePeak Analytics 35,bluepeakanalytics3.net,Healthcare Tech,Enterprise,Southeast,1420,140519612,98,False,ACC000422
BluePeak Intelligence,bluepeakintelligen.com,Logistics Tech,Enterprise,Northeast,2684,271998589,72,True,ACC000423
Nimbus Health 75,nimbushealth75.com,HR Tech,Mid-Market,International,637,138279428,75,False,ACC000424
Evergreen Ops 30,evergreenops30.ai,HR Tech,Enterprise,Southeast,3959,676284105,59,False,ACC000426
Evergreen Data 3,evergreendata3.ai,HR Tech,Mid-Market,Central,367,63906139,53,False,ACC000429
Clearpath Intelligence 77,clearpathintellige.co,HR Tech,Enterprise,International,1259,301212231,77,False,ACC000430
Catalyst Ops,catalystops.co,SaaS,Enterprise,Mountain,1899,414235110,77,False,ACC000433
Vertex Dynamics 39,vertexdynamics39.ai,Ecommerce,Enterprise,Southeast,2065,436213317,53,False,ACC000436
Clearpath Solutions 31,clearpathsolutions.com,HR Tech,SMB,Mountain,285,30715987,68,False,ACC000437
Signal Data 41,signaldata41.co,Cybersecurity,Enterprise,West,2111,303072415,80,False,ACC000439
Northstar Works,northstarworks.net,SaaS,SMB,Mountain,32,6946904,94,False,ACC000440
Apex Platform 59,apexplatform59.net,Manufacturing Tech,SMB,Mountain,227,39611204,64,False,ACC000442
Vertex Health 3,vertexhealth3.com,HR Tech,Mid-Market,Mountain,246,55132079,53,False,ACC000443
Cobalt Solutions 11,cobaltsolutions11.com,Healthcare Tech,SMB,Mountain,129,28809971,79,True,ACC000444
Clearpath Cloud,clearpathcloud.com,Ecommerce,Mid-Market,West,298,65039850,57,False,ACC000445
Pioneer Software 25,pioneersoftware25.ai,Cybersecurity,Mid-Market,Southeast,281,60054808,88,False,ACC000447
Atlas Markets 54,atlasmarkets54.net,Logistics Tech,Mid-Market,West,294,28116885,48,False,ACC000448
Vertex Ops 27,vertexops27.net,HR Tech,Mid-Market,International,282,40700055,73,True,ACC000449
Apex Platform,apexplatform.ai,Logistics Tech,SMB,Northeast,51,4601274,61,True,ACC000450
Pioneer Group,pioneergroup.co,Cybersecurity,Mid-Market,Mountain,582,89275528,78,False,ACC000451
Apex Solutions 9,apexsolutions9.co,Manufacturing Tech,Enterprise,Central,1249,135895535,59,False,ACC000452
Catalyst Solutions 70,catalystsolutions7.com,HR Tech,Enterprise,Northeast,4459,843429383,47,False,ACC000453
Catalyst Dynamics 4,catalystdynamics4.net,Logistics Tech,Mid-Market,West,113,25983076,74,True,ACC000456
Northstar Intelligence,northstarintellige.io,FinTech,Mid-Market,Southeast,1097,240677489,72,False,ACC000461
Northstar Systems 91,northstarsystems91.net,EdTech,Mid-Market,Northeast,447,85633069,75,True,ACC000462
Catalyst Health 65,catalysthealth65.io,Ecommerce,Enterprise,International,3579,456573691,80,False,ACC000463
Catalyst Intelligence,catalystintelligen.ai,FinTech,Enterprise,International,1630,280895943,74,False,ACC000464
Apex Solutions 28,apexsolutions28.io,Healthcare Tech,SMB,Central,130,20095534,70,False,ACC000465
Ironwood Dynamics 22,ironwooddynamics22.co,Healthcare Tech,SMB,West,121,22537479,69,False,ACC000467
Nimbus Health 11,nimbushealth11.ai,FinTech,SMB,Southeast,207,21777628,65,True,ACC000468
Nova Markets 92,novamarkets92.com,EdTech,Enterprise,International,2496,263248638,71,False,ACC000469
Bright Health 44,brighthealth44.io,HR Tech,Mid-Market,Southeast,146,21847711,58,False,ACC000470
Evergreen Solutions,evergreensolutions.ai,Cybersecurity,Mid-Market,Mountain,606,104499209,91,False,ACC000471
Evergreen Markets 21,evergreenmarkets21.com,Ecommerce,Mid-Market,West,385,39966868,74,False,ACC000472
Ironwood Software 14,ironwoodsoftware14.com,HR Tech,SMB,Mountain,277,54172570,82,True,ACC000473
Atlas Analytics,atlasanalytics.co,Healthcare Tech,Mid-Market,Central,632,86543620,93,True,ACC000474
Northstar Data 7,northstardata7.ai,Logistics Tech,SMB,Southeast,224,43011759,82,False,ACC000476
Evergreen Markets 75,evergreenmarkets75.io,Logistics Tech,Enterprise,Central,2058,320549443,90,False,ACC000479
BluePeak Cloud 17,bluepeakcloud17.co,FinTech,Mid-Market,Mountain,198,39027365,81,True,ACC000480
Bright Ops 12,brightops12.co,HR Tech,Enterprise,International,1298,169545992,62,False,ACC000481
Summit Health,summithealth.net,Healthcare Tech,SMB,Central,196,39334771,81,False,ACC000484
Nimbus Platform 85,nimbusplatform85.co,Logistics Tech,Mid-Market,West,560,78422970,63,False,ACC000485
Vertex Platform 6,vertexplatform6.co,Ecommerce,Enterprise,International,3462,642869648,68,False,ACC000486
Bright Markets,brightmarkets.ai,Ecommerce,Mid-Market,West,542,53983715,74,True,ACC000487
Nimbus Markets 91,nimbusmarkets91.com,HR Tech,Mid-Market,Mountain,275,45007698,72,True,ACC000488
Nimbus Ops 79,nimbusops79.com,HR Tech,Mid-Market,Southeast,1055,136132441,57,True,ACC000489
Vertex Systems 24,vertexsystems24.io,HR Tech,SMB,West,85,14705597,82,False,ACC000491
Bright Data,brightdata.com,Ecommerce,SMB,International,95,11628856,73,False,ACC000492
Clearpath Platform 83,clearpathplatform8.com,SaaS,SMB,Mountain,94,21729803,40,True,ACC000493
Northstar Markets 77,northstarmarkets77.net,Ecommerce,Enterprise,Central,2367,495112124,41,False,ACC000494
Atlas Systems 51,atlassystems51.com,FinTech,Enterprise,Northeast,1612,292710205,94,False,ACC000495
Vertex Networks 78,vertexnetworks78.com,HR Tech,Mid-Market,Central,203,20814229,72,False,ACC000497
Keystone Platform 46,keystoneplatform46.co,Cybersecurity,Mid-Market,Mountain,746,80390642,97,True,ACC000498
Summit Systems 67,summitsystems67.ai,Manufacturing Tech,SMB,International,42,5163189,64,False,ACC000499
Summit Markets 10,summitmarkets10.ai,Cybersecurity,Enterprise,International,4554,1005160078,64,False,ACC000500
Nimbus Solutions,nimbussolutions.ai,HR Tech,Mid-Market,Mountain,403,61172866,53,False,ACC000501
Keystone Platform 51,keystoneplatform51.com,HR Tech,Enterprise,Central,1141,233585686,72,False,ACC000503
Catalyst Markets,catalystmarkets.ai,Manufacturing Tech,Enterprise,Central,2685,586931160,90,False,ACC000504
Atlas Health 62,atlashealth62.io,Cybersecurity,Mid-Market,International,902,115447753,85,False,ACC000505
Signal Health 89,signalhealth89.co,Manufacturing Tech,Mid-Market,Central,395,73930623,69,False,ACC000508
Vertex Software 45,vertexsoftware45.co,Logistics Tech,SMB,Mountain,143,33635011,40,False,ACC000509
Ironwood Group 82,ironwoodgroup82.io,Ecommerce,Enterprise,International,3079,733980219,31,False,ACC000510
Apex Data,apexdata.ai,HR Tech,Mid-Market,Mountain,222,31652333,62,True,ACC000511
Cobalt Cloud 80,cobaltcloud80.co,EdTech,SMB,Southeast,237,44676733,68,False,ACC000512
Pioneer Systems,pioneersystems.ai,Manufacturing Tech,Mid-Market,Mountain,269,55138882,73,False,ACC000514
Catalyst Intelligence 41,catalystintelligen.io,Healthcare Tech,Mid-Market,Southeast,842,171578787,56,True,ACC000515
Cobalt Labs 40,cobaltlabs40.ai,Logistics Tech,Mid-Market,International,960,136362623,56,True,ACC000516
Summit Intelligence 93,summitintelligence.com,EdTech,Mid-Market,International,499,109394300,54,False,ACC000519
Summit Ops 58,summitops58.co,Healthcare Tech,Mid-Market,Northeast,989,183473600,98,True,ACC000521
Nimbus Cloud,nimbuscloud.co,Healthcare Tech,SMB,Northeast,126,20062783,79,True,ACC000523
Signal Markets 44,signalmarkets44.io,SaaS,Mid-Market,West,586,130805588,67,False,ACC000526
Ironwood Cloud 13,ironwoodcloud13.net,Healthcare Tech,Enterprise,International,1543,272347770,81,False,ACC000527
Catalyst Data 39,catalystdata39.ai,Logistics Tech,Enterprise,West,6000,813627245,55,True,ACC000528
Atlas Intelligence 88,atlasintelligence8.ai,EdTech,SMB,International,175,30612243,63,False,ACC000529
Northstar Health,northstarhealth.co,EdTech,Enterprise,Southeast,1647,322992428,93,False,ACC000532
Keystone Networks 16,keystonenetworks16.io,SaaS,Mid-Market,Mountain,339,49400060,85,False,ACC000533
Ironwood Health 54,ironwoodhealth54.co,SaaS,Mid-Market,West,776,113271472,88,False,ACC000535
Nova Systems,novasystems.net,HR Tech,Mid-Market,International,439,103664208,65,False,ACC000536
Keystone Dynamics 63,keystonedynamics63.ai,EdTech,Mid-Market,Mountain,331,39926869,89,False,ACC000537
Northstar Markets 65,northstarmarkets65.io,Healthcare Tech,Mid-Market,Southeast,335,31112029,76,True,ACC000538
Cobalt Data 58,cobaltdata58.net,Logistics Tech,Mid-Market,West,219,38520147,67,False,ACC000540
Pioneer Labs 30,pioneerlabs30.co,Ecommerce,Mid-Market,Northeast,514,98954286,72,False,ACC000543
Nova Intelligence 83,novaintelligence83.ai,Manufacturing Tech,SMB,Northeast,57,8515471,44,False,ACC000545
Northstar Markets 19,northstarmarkets19.co,Healthcare Tech,SMB,Central,198,30181676,75,True,ACC000546
Bright Health 59,brighthealth59.co,Manufacturing Tech,Enterprise,Mountain,2694,331243513,54,True,ACC000548
Summit Platform 86,summitplatform86.net,Ecommerce,Enterprise,Northeast,3190,361736843,93,False,ACC000550
Nimbus Platform 45,nimbusplatform45.ai,Logistics Tech,Mid-Market,Mountain,489,64081524,57,False,ACC000551
Evergreen Group 93,evergreengroup93.net,HR Tech,Enterprise,Mountain,4675,618445728,61,False,ACC000552
Vertex Networks 66,vertexnetworks66.net,Ecommerce,Mid-Market,International,1105,228245919,83,True,ACC000553
Pioneer Markets,pioneermarkets.net,EdTech,Mid-Market,International,346,41269142,83,False,ACC000554
Keystone Systems 68,keystonesystems68.com,SaaS,Mid-Market,Southeast,1111,209659462,80,False,ACC000555
Summit Dynamics 97,summitdynamics97.net,EdTech,Mid-Market,Mountain,474,69121518,50,True,ACC000558
Meridian Labs 56,meridianlabs56.ai,Manufacturing Tech,SMB,Central,112,14274438,67,True,ACC000562
Apex Group 61,apexgroup61.io,SaaS,Enterprise,Mountain,2681,543009376,89,False,ACC000563
Evergreen Platform,evergreenplatform.com,Ecommerce,Mid-Market,Mountain,768,88785603,66,True,ACC000566
Pioneer Works 29,pioneerworks29.net,Manufacturing Tech,SMB,Southeast,338,76587709,75,False,ACC000567
Pioneer Data 32,pioneerdata32.net,HR Tech,SMB,West,41,8935839,83,False,ACC000568
Summit Platform 34,summitplatform34.net,Cybersecurity,SMB,West,87,10929095,66,False,ACC000569
Ironwood Labs 39,ironwoodlabs39.io,Ecommerce,SMB,Northeast,39,4524951,82,False,ACC000570
Summit Networks,summitnetworks.net,Manufacturing Tech,SMB,West,67,13796352,77,False,ACC000571
Cobalt Software,cobaltsoftware.io,EdTech,Enterprise,West,907,183589408,57,False,ACC000572
Cobalt Cloud 5,cobaltcloud5.co,Ecommerce,Mid-Market,West,274,25897269,55,True,ACC000573
Meridian Ops 42,meridianops42.com,EdTech,Enterprise,International,1225,161996947,85,False,ACC000575
Cobalt Labs 91,cobaltlabs91.com,Ecommerce,Mid-Market,Northeast,129,20039726,80,True,ACC000576
Cobalt Works 99,cobaltworks99.co,EdTech,SMB,Southeast,84,10849211,60,False,ACC000577
Northstar Dynamics 19,northstardynamics1.co,Manufacturing Tech,Mid-Market,Central,187,21455017,68,True,ACC000578
Pioneer Systems 72,pioneersystems72.net,FinTech,Mid-Market,West,422,53593490,30,True,ACC000579
Evergreen Analytics 41,evergreenanalytics.io,Ecommerce,Enterprise,Mountain,970,113081508,83,False,ACC000580
Evergreen Data 84,evergreendata84.net,Healthcare Tech,SMB,Central,57,7685228,86,True,ACC000582
Summit Software 94,summitsoftware94.net,Logistics Tech,SMB,Central,67,10351074,57,True,ACC000583
Summit Works 81,summitworks81.com,HR Tech,Mid-Market,Central,148,24260594,75,True,ACC000584
Atlas Cloud 74,atlascloud74.net,Ecommerce,Mid-Market,Central,760,112873706,97,False,ACC000585
Northstar Systems,northstarsystems.ai,HR Tech,SMB,Mountain,143,32851852,89,False,ACC000586
Pioneer Cloud 88,pioneercloud88.ai,Logistics Tech,Mid-Market,Southeast,358,49768875,84,True,ACC000587
Ironwood Health 24,ironwoodhealth24.net,Healthcare Tech,SMB,Central,78,7905234,74,True,ACC000588
Nimbus Analytics 95,nimbusanalytics95.com,SaaS,Enterprise,Northeast,4600,436385977,80,False,ACC000589
Meridian Dynamics 77,meridiandynamics77.ai,FinTech,Enterprise,Southeast,1926,273738179,78,True,ACC000591
Clearpath Networks 24,clearpathnetworks2.net,FinTech,SMB,International,114,18422691,78,True,ACC000593
Bright Dynamics 99,brightdynamics99.co,HR Tech,SMB,West,46,9898677,74,False,ACC000594
Bright Software 68,brightsoftware68.ai,EdTech,Enterprise,Southeast,1472,310975987,53,False,ACC000595
Meridian Platform 48,meridianplatform48.net,Healthcare Tech,SMB,Northeast,137,25055362,54,False,ACC000597
BluePeak Platform 47,bluepeakplatform47.ai,Logistics Tech,Enterprise,Southeast,1344,224239749,61,False,ACC000598
Clearpath Networks 31,clearpathnetworks3.com,Manufacturing Tech,Mid-Market,International,358,61790623,63,False,ACC000599
Northstar Networks 48,northstarnetworks4.net,Healthcare Tech,Enterprise,International,846,108542185,91,False,ACC000600
Summit Markets 88,summitmarkets88.co,Logistics Tech,Mid-Market,Mountain,1455,191645219,98,False,ACC000601
Northstar Solutions 23,northstarsolutions.ai,Logistics Tech,Mid-Market,Northeast,1205,185893766,76,False,ACC000605
Cobalt Dynamics,cobaltdynamics.co,EdTech,Enterprise,Mountain,2298,379334530,66,True,ACC000606
BluePeak Ops 21,bluepeakops21.net,Healthcare Tech,Mid-Market,Mountain,530,64808756,68,True,ACC000607
Keystone Ops,keystoneops.ai,SaaS,Enterprise,International,1860,385940137,80,False,ACC000609
Ironwood Platform 46,ironwoodplatform46.net,Healthcare Tech,Mid-Market,Southeast,111,15059800,52,True,ACC000610
Signal Group 54,signalgroup54.ai,Healthcare Tech,SMB,Mountain,69,7004957,58,False,ACC000613
Pioneer Platform 96,pioneerplatform96.io,Healthcare Tech,Enterprise,International,1366,173729251,86,False,ACC000616
Nimbus Dynamics 49,nimbusdynamics49.com,SaaS,Enterprise,International,1443,178804814,81,True,ACC000619
Bright Networks 83,brightnetworks83.co,Logistics Tech,SMB,West,40,5278475,84,False,ACC000620
Signal Labs 78,signallabs78.net,Manufacturing Tech,Enterprise,International,3110,505868488,84,False,ACC000621
Pioneer Dynamics 85,pioneerdynamics85.com,FinTech,Enterprise,West,1431,160826398,78,False,ACC000622
Evergreen Works 94,evergreenworks94.net,Ecommerce,Mid-Market,Central,538,69388130,56,False,ACC000624
Keystone Intelligence 68,keystoneintelligen.net,SaaS,SMB,International,35,3828165,64,False,ACC000629
Signal Markets 96,signalmarkets96.io,HR Tech,SMB,International,162,15673422,76,False,ACC000632
Nimbus Markets 25,nimbusmarkets25.net,Cybersecurity,Enterprise,Southeast,3986,712706870,66,True,ACC000635
Apex Systems,apexsystems.io,EdTech,Enterprise,Northeast,832,179403848,84,False,ACC000638
Northstar Markets 56,northstarmarkets56.io,EdTech,Enterprise,International,2233,510548969,68,False,ACC000640
Meridian Software,meridiansoftware.io,FinTech,Enterprise,Southeast,2087,348882118,79,False,ACC000643
Ironwood Cloud 82,ironwoodcloud82.net,Manufacturing Tech,SMB,International,66,10692469,53,True,ACC000644
Nimbus Labs 52,nimbuslabs52.com,FinTech,SMB,West,88,14940707,75,False,ACC000645
Summit Data 97,summitdata97.ai,Cybersecurity,Mid-Market,Central,296,40215031,86,False,ACC000646
Pioneer Systems 54,pioneersystems54.com,Ecommerce,Mid-Market,International,260,48063454,66,False,ACC000647
Atlas Intelligence 43,atlasintelligence4.net,Logistics Tech,Mid-Market,International,713,157522315,83,True,ACC000648
Atlas Data 82,atlasdata82.io,FinTech,Mid-Market,International,748,101824843,82,False,ACC000649
