External Campaign Member ID,External Campaign ID,External Lead ID,External Contact ID,Member Type,Status,First Responded Date
CM000007,CMP000032,LED004017,,Lead,Opened,
CM000011,CMP000008,LED002459,,Lead,Sent,
CM000015,CMP000003,LED001478,,Lead,Sent,
CM000031,CMP000023,LED001089,,Lead,Opened,
CM000032,CMP000003,LED000600,,Lead,Attended,2026-04-08
CM000039,CMP000014,LED000839,,Lead,Attended,2025-01-23
CM000045,CMP000002,LED000752,,Lead,Sent,
CM000046,CMP000020,LED000752,,Lead,Opened,
CM000048,CMP000035,LED002541,,Lead,Sent,
CM000057,CMP000025,LED000762,,Lead,Opened,
CM000063,CMP000033,LED001534,,Lead,Sent,
CM000064,CMP000026,LED001534,,Lead,Attended,2026-03-12
CM000068,CMP000014,LED001510,,Lead,Attended,2025-01-12
CM000069,CMP000036,LED000866,,Lead,Opened,
CM000070,CMP000028,LED000866,,Lead,Sent,
CM000071,CMP000035,LED004048,,Lead,Attended,2025-09-09
CM000073,CMP000026,LED001422,,Lead,Attended,2026-02-17
CM000074,CMP000034,LED001422,,Lead,Sent,
CM000082,CMP000003,LED001968,,Lead,Opened,
CM000083,CMP000001,LED003101,,Lead,Opened,
CM000084,CMP000021,LED003101,,Lead,Clicked,2025-10-08
CM000085,CMP000010,LED003671,,Lead,Sent,
CM000086,CMP000003,LED003671,,Lead,Sent,
CM000087,CMP000005,LED004126,,Lead,Opened,
CM000092,CMP000002,LED001062,,Lead,Attended,2025-04-18
CM000094,CMP000004,LED000433,,Lead,Sent,
CM000095,CMP000007,LED002631,,Lead,Opened,
CM000096,CMP000033,LED002631,,Lead,Opened,
CM000098,CMP000034,LED001211,,Lead,Opened,
CM000099,CMP000008,LED001211,,Lead,Clicked,2025-10-08
CM000102,CMP000022,LED000180,,Lead,Attended,2026-05-25
CM000106,CMP000005,LED000221,,Lead,Attended,2025-04-29
CM000107,CMP000005,LED000221,,Lead,Sent,
CM000115,CMP000001,LED000189,,Lead,Sent,
CM000116,CMP000008,LED000189,,Lead,Sent,
CM000134,CMP000013,LED001611,,Lead,Opened,
CM000136,CMP000005,LED002379,,Lead,Attended,2025-05-07
CM000140,CMP000031,LED003954,,Lead,Sent,
CM000156,CMP000017,LED000372,,Lead,Attended,2025-03-24
CM000157,CMP000006,LED002583,,Lead,Converted,2026-05-22
CM000158,CMP000025,LED002583,,Lead,Clicked,2025-07-18
CM000167,CMP000034,LED000009,,Lead,Sent,
CM000170,CMP000024,LED000150,,Lead,Sent,
CM000177,CMP000028,LED000271,,Lead,Attended,2026-07-21
CM000178,CMP000010,LED000271,,Lead,Attended,2025-12-06
CM000180,CMP000033,LED002535,,Lead,Attended,2026-01-03
CM000186,CMP000001,LED000206,,Lead,Sent,
CM000188,CMP000034,LED000458,,Lead,Opened,
CM000197,CMP000026,LED002045,,Lead,Opened,
CM000211,CMP000011,LED003886,,Lead,Clicked,2026-03-21
CM000228,CMP000001,LED001352,,Lead,Opened,
CM000239,CMP000030,LED003785,,Lead,Attended,2026-05-27
CM000246,CMP000025,LED001322,,Lead,Sent,
CM000253,CMP000035,LED003464,,Lead,Opened,
CM000254,CMP000023,LED002857,,Lead,Clicked,2025-11-05
CM000256,CMP000028,LED003099,,Lead,Clicked,2026-06-03
CM000267,CMP000021,LED002006,,Lead,Attended,2025-09-17
CM000268,CMP000034,LED002128,,Lead,Sent,
CM000269,CMP000013,LED004140,,Lead,Sent,
CM000274,CMP000016,LED000197,,Lead,Converted,2026-01-11
CM000276,CMP000015,LED000721,,Lead,Sent,
CM000287,CMP000030,LED001477,,Lead,Sent,
CM000288,CMP000001,LED002987,,Lead,Sent,
CM000289,CMP000003,LED000977,,Lead,Attended,2026-03-11
CM000290,CMP000020,LED000977,,Lead,Clicked,2026-02-18
CM000309,CMP000032,LED003505,,Lead,Attended,2025-10-23
CM000310,CMP000021,LED000331,,Lead,Sent,
CM000311,CMP000019,LED000502,,Lead,Sent,
CM000313,CMP000007,LED000651,,Lead,Sent,
CM000323,CMP000013,LED003698,,Lead,Sent,
CM000334,CMP000026,LED002497,,Lead,Sent,
CM000335,CMP000010,LED002497,,Lead,Converted,2025-11-30
CM000336,CMP000024,LED003816,,Lead,Converted,2025-09-10
CM000343,CMP000028,LED003385,,Lead,Sent,
CM000347,CMP000002,LED000830,,Lead,Clicked,2025-01-31
CM000354,CMP000036,LED001221,,Lead,Clicked,2026-01-11
CM000356,CMP000004,LED000756,,Lead,Sent,
CM000357,CMP000033,LED000756,,Lead,Sent,
CM000366,CMP000025,LED003071,,Lead,Sent,
CM000374,CMP000014,LED001405,,Lead,Attended,2025-03-27
CM000377,CMP000034,LED001753,,Lead,Opened,
CM000378,CMP000014,LED002802,,Lead,Attended,2025-03-24
CM000379,CMP000002,LED000585,,Lead,Clicked,2025-03-15
CM000383,CMP000013,LED003436,,Lead,Converted,2025-10-10
CM000385,CMP000018,LED002380,,Lead,Attended,2025-07-23
CM000403,CMP000018,LED002341,,Lead,Opened,
CM000405,CMP000008,LED002105,,Lead,Attended,2025-10-03
CM000406,CMP000013,LED002105,,Lead,Converted,2025-10-21
CM000408,CMP000002,LED000230,,Lead,Opened,
CM000409,CMP000020,LED000230,,Lead,Converted,2026-03-12
CM000415,CMP000001,LED004102,,Lead,Clicked,2025-12-09
CM000416,CMP000015,LED004102,,Lead,Clicked,2025-08-05
CM000423,CMP000016,LED000577,,Lead,Sent,
CM000424,CMP000003,LED002926,,Lead,Sent,
CM000435,CMP000031,LED001208,,Lead,Sent,
CM000436,CMP000019,LED001208,,Lead,Converted,2026-01-29
CM000443,CMP000020,LED004013,,Lead,Sent,
CM000444,CMP000011,LED004013,,Lead,Opened,
CM000446,CMP000012,LED002837,,Lead,Clicked,2025-11-12
CM000447,CMP000016,LED001234,,Lead,Opened,
CM000448,CMP000036,LED001234,,Lead,Opened,
CM000454,CMP000009,LED003898,,Lead,Opened,
CM000455,CMP000025,LED000911,,Lead,Opened,
CM000456,CMP000002,LED000911,,Lead,Converted,2025-03-14
CM000468,CMP000026,LED000745,,Lead,Converted,2026-04-21
CM000469,CMP000028,LED000745,,Lead,Sent,
CM000473,CMP000026,LED001039,,Lead,Attended,2026-02-18
CM000474,CMP000015,LED001039,,Lead,Sent,
CM000504,CMP000031,LED001282,,Lead,Sent,
CM000505,CMP000025,LED001282,,Lead,Clicked,2025-08-19
CM000509,CMP000017,LED000880,,Lead,Opened,
CM000510,CMP000010,LED000880,,Lead,Clicked,2025-11-15
CM000514,CMP000001,LED002571,,Lead,Opened,
CM000516,CMP000028,LED003772,,Lead,Opened,
CM000517,CMP000027,LED003772,,Lead,Attended,2026-06-28
CM000519,CMP000006,LED001259,,Lead,Sent,
CM000524,CMP000009,LED002556,,Lead,Attended,2026-03-21
CM000548,CMP000014,LED003855,,Lead,Opened,
CM000549,CMP000009,LED001035,,Lead,Opened,
CM000550,CMP000015,LED001035,,Lead,Opened,
CM000559,CMP000003,LED003214,,Lead,Attended,2026-03-28
CM000564,CMP000013,LED000100,,Lead,Opened,
CM000570,CMP000020,LED001004,,Lead,Attended,2026-03-19
CM000571,CMP000018,LED001004,,Lead,Sent,
CM000573,CMP000026,LED000569,,Lead,Opened,
CM000587,CMP000034,LED004185,,Lead,Clicked,2025-06-11
CM000589,CMP000001,LED001619,,Lead,Opened,
CM000590,CMP000009,LED000732,,Lead,Clicked,2026-01-15
CM000591,CMP000021,LED000732,,Lead,Sent,
CM000607,CMP000018,LED001845,,Lead,Clicked,2025-07-09
CM000612,CMP000034,LED003472,,Lead,Sent,
CM000622,CMP000027,LED001787,,Lead,Sent,
CM000630,CMP000025,LED000799,,Lead,Attended,2025-09-07
CM000656,CMP000012,LED000599,,Lead,Sent,
CM000657,CMP000036,LED000599,,Lead,Sent,
CM000678,CMP000012,LED003917,,Lead,Clicked,2025-12-01
CM000679,CMP000006,LED000801,,Lead,Sent,
CM000680,CMP000025,LED000801,,Lead,Opened,
CM000685,CMP000016,LED001105,,Lead,Attended,2026-02-19
CM000691,CMP000015,LED002381,,Lead,Sent,
CM000692,CMP000007,LED002381,,Lead,Sent,
CM000695,CMP000022,LED004033,,Lead,Opened,
CM000697,CMP000034,LED002805,,Lead,Attended,2025-06-20
CM000700,CMP000036,LED003078,,Lead,Attended,2025-11-13
CM000722,CMP000019,LED003876,,Lead,Sent,
CM000723,CMP000024,LED003876,,Lead,Sent,
CM000724,CMP000030,LED004173,,Lead,Sent,
CM000732,CMP000030,LED003560,,Lead,Sent,
CM000733,CMP000031,LED001243,,Lead,Opened,
CM000739,CMP000022,LED002530,,Lead,Opened,
CM000747,CMP000009,LED002874,,Lead,Opened,
CM000753,CMP000033,LED001414,,Lead,Sent,
CM000759,CMP000034,LED001766,,Lead,Attended,2025-06-22
CM000760,CMP000036,LED000013,,Lead,Converted,2025-12-16
CM000771,CMP000013,LED002477,,Lead,Clicked,2025-11-01
CM000777,CMP000036,LED003225,,Lead,Opened,
CM000782,CMP000029,LED003838,,Lead,Clicked,2026-07-27
CM000783,CMP000027,LED003838,,Lead,Sent,
CM000790,CMP000005,LED003568,,Lead,Clicked,2025-03-08
CM000791,CMP000016,LED003568,,Lead,Opened,
CM000795,CMP000010,LED003383,,Lead,Clicked,2026-01-27
CM000797,CMP000023,LED001279,,Lead,Opened,
CM000798,CMP000029,LED003216,,Lead,Opened,
CM000803,CMP000018,LED002612,,Lead,Clicked,2025-08-17
CM000812,CMP000033,LED000734,,Lead,Opened,
CM000817,CMP000009,LED000064,,Lead,Opened,
CM000825,CMP000014,LED001095,,Lead,Clicked,2025-03-19
CM000827,CMP000001,LED001506,,Lead,Sent,
CM000831,CMP000034,LED003817,,Lead,Attended,2025-06-09
CM000848,CMP000021,LED001489,,Lead,Sent,
CM000853,CMP000013,LED001873,,Lead,Sent,
CM000867,CMP000008,LED001503,,Lead,Clicked,2025-11-16
CM000868,CMP000014,LED001324,,Lead,Opened,
CM000869,CMP000007,LED001324,,Lead,Sent,
CM000870,CMP000026,LED003128,,Lead,Opened,
CM000872,CMP000001,LED000059,,Lead,Clicked,2026-01-13
CM000877,CMP000017,LED004179,,Lead,Sent,
CM000878,CMP000001,LED004179,,Lead,Converted,2026-01-09
CM000890,CMP000018,LED003903,,Lead,Clicked,2025-07-10
CM000892,CMP000033,LED002589,,Lead,Sent,
CM000898,CMP000029,LED002442,,Lead,Sent,
CM000899,CMP000012,LED002442,,Lead,Opened,
CM000905,CMP000030,LED000933,,Lead,Opened,
CM000906,CMP000019,LED002032,,Lead,Sent,
CM000910,CMP000012,LED001147,,Lead,Clicked,2025-10-01
CM000911,CMP000006,LED001147,,Lead,Converted,2026-04-27
CM000914,CMP000019,LED000388,,Lead,Sent,
CM000929,CMP000014,LED002214,,Lead,Clicked,2025-01-12
CM000930,CMP000008,LED002214,,Lead,Sent,
CM000942,CMP000011,LED000193,,Lead,Sent,
CM000943,CMP000023,LED000568,,Lead,Converted,2025-10-29
CM000944,CMP000012,LED002938,,Lead,Attended,2025-09-30
CM000963,CMP000011,LED002863,,Lead,Sent,
CM000966,CMP000029,LED001715,,Lead,Sent,
CM000974,CMP000018,LED003521,,Lead,Opened,
CM000980,CMP000016,LED003025,,Lead,Attended,2026-01-09
CM000981,CMP000010,LED003025,,Lead,Opened,
CM000982,CMP000026,LED003199,,Lead,Sent,
CM000983,CMP000020,LED003199,,Lead,Opened,
CM000987,CMP000019,LED003995,,Lead,Converted,2025-12-26
CM000995,CMP000014,LED000894,,Lead,Clicked,2025-01-24
CM000996,CMP000029,LED000894,,Lead,Clicked,2026-05-17
CM000998,CMP000007,LED003504,,Lead,Converted,2026-01-13
CM001000,CMP000018,LED003509,,Lead,Clicked,2025-08-08
CM001001,CMP000016,LED003509,,Lead,Attended,2026-02-10
CM001002,CMP000017,LED003691,,Lead,Opened,
CM001003,CMP000023,LED003691,,Lead,Clicked,2025-10-24
CM001004,CMP000034,LED001953,,Lead,Clicked,2025-08-17
CM001005,CMP000021,LED001953,,Lead,Attended,2025-10-29
CM001014,CMP000032,LED003639,,Lead,Opened,
CM001015,CMP000020,LED002019,,Lead,Opened,
CM001019,CMP000035,LED003232,,Lead,Sent,
CM001025,CMP000034,LED000863,,Lead,Converted,2025-06-25
CM001030,CMP000016,LED003241,,Lead,Clicked,2026-01-07
CM001037,CMP000020,LED003260,,Lead,Opened,
CM001040,CMP000002,LED000655,,Lead,Sent,
CM001045,CMP000016,LED000737,,Lead,Clicked,2026-02-28
CM001046,CMP000012,LED000737,,Lead,Clicked,2025-10-13
CM001048,CMP000014,LED002475,,Lead,Opened,
CM001049,CMP000010,LED002475,,Lead,Clicked,2025-12-29
CM001051,CMP000009,LED003467,,Lead,Sent,
CM001061,CMP000033,LED000658,,Lead,Sent,
CM001062,CMP000016,LED000658,,Lead,Clicked,2026-01-31
CM001066,CMP000001,LED001879,,Lead,Sent,
CM001074,CMP000004,LED001949,,Lead,Sent,
CM001075,CMP000024,LED002752,,Lead,Sent,
CM001076,CMP000001,LED002149,,Lead,Sent,
CM001087,CMP000025,LED001874,,Lead,Sent,
CM001096,CMP000003,LED001455,,Lead,Attended,2026-04-04
CM001103,CMP000016,LED002168,,Lead,Attended,2026-02-04
CM001104,CMP000001,LED002168,,Lead,Opened,
CM001107,CMP000019,LED000882,,Lead,Opened,
CM001109,CMP000009,LED003620,,Lead,Sent,
CM001110,CMP000019,LED003620,,Lead,Sent,
CM001112,CMP000022,LED001351,,Lead,Opened,
CM001113,CMP000002,LED001214,,Lead,Sent,
CM001115,CMP000016,LED002533,,Lead,Opened,
CM001118,CMP000026,LED001232,,Lead,Sent,
CM001124,CMP000033,LED003143,,Lead,Sent,
CM001125,CMP000007,LED002472,,Lead,Attended,2026-02-07
CM001135,CMP000020,LED004156,,Lead,Attended,2026-03-07
CM001140,CMP000020,LED002089,,Lead,Sent,
CM001148,CMP000026,LED003709,,Lead,Opened,
CM001149,CMP000014,LED002952,,Lead,Opened,
CM001153,CMP000006,LED001737,,Lead,Opened,
CM001154,CMP000032,LED004181,,Lead,Clicked,2025-12-19
CM001155,CMP000015,LED004181,,Lead,Sent,
CM001159,CMP000034,LED000867,,Lead,Converted,2025-08-28
CM001161,CMP000002,LED001916,,Lead,Clicked,2025-02-05
CM001162,CMP000034,LED001916,,Lead,Attended,2025-07-30
CM001169,CMP000028,LED001603,,Lead,Opened,
CM001172,CMP000017,LED000730,,Lead,Converted,2025-03-30
CM001181,CMP000012,LED001201,,Lead,Sent,
CM001188,CMP000023,LED000347,,Lead,Sent,
CM001192,CMP000034,LED001264,,Lead,Clicked,2025-07-28
CM001193,CMP000010,LED003766,,Lead,Sent,
CM001194,CMP000013,LED003766,,Lead,Converted,2025-11-03
CM001198,CMP000016,LED002963,,Lead,Sent,
CM001199,CMP000011,LED003089,,Lead,Clicked,2026-04-29
CM001200,CMP000034,LED001923,,Lead,Sent,
CM001208,CMP000001,LED000788,,Lead,Attended,2025-11-05
CM001209,CMP000030,LED001058,,Lead,Opened,
CM001210,CMP000015,LED000819,,Lead,Opened,
CM001213,CMP000019,LED004078,,Lead,Sent,
CM001215,CMP000032,LED001023,,Lead,Sent,
CM001224,CMP000010,LED003304,,Lead,Sent,
CM001225,CMP000019,LED000332,,Lead,Attended,2026-01-29
CM001236,CMP000023,LED000480,,Lead,Opened,
CM001240,CMP000002,LED002060,,Lead,Opened,
CM001243,CMP000009,LED002458,,Lead,Attended,2026-02-26
CM001246,CMP000020,LED004047,,Lead,Sent,
CM001248,CMP000011,LED002385,,Lead,Sent,
CM001249,CMP000004,LED002385,,Lead,Sent,
CM001256,CMP000027,LED002816,,Lead,Clicked,2026-07-15
CM001257,CMP000011,LED002816,,Lead,Opened,
CM001259,CMP000028,LED000469,,Lead,Clicked,2026-07-09
CM001263,CMP000025,LED001176,,Lead,Clicked,2025-09-02
CM001265,CMP000020,LED001174,,Lead,Opened,
CM001269,CMP000033,LED001189,,Lead,Clicked,2025-11-05
CM001281,CMP000019,LED000622,,Lead,Sent,
CM001282,CMP000010,LED000622,,Lead,Converted,2025-12-03
CM001284,CMP000009,LED003017,,Lead,Clicked,2026-03-21
CM001285,CMP000005,LED003017,,Lead,Attended,2025-02-16
CM001287,CMP000001,LED002841,,Lead,Opened,
CM001288,CMP000002,LED002314,,Lead,Clicked,2025-03-18
CM001291,CMP000019,LED001689,,Lead,Sent,
CM001294,CMP000002,LED003322,,Lead,Opened,
CM001297,CMP000024,LED002604,,Lead,Converted,2025-08-24
CM001298,CMP000029,LED003731,,Lead,Clicked,2026-05-19
CM001299,CMP000003,LED003731,,Lead,Clicked,2026-03-12
CM001300,CMP000007,LED001475,,Lead,Sent,
CM001302,CMP000017,LED000089,,Lead,Opened,
CM001309,CMP000007,LED001832,,Lead,Sent,
CM001310,CMP000018,LED003949,,Lead,Attended,2025-08-09
CM001322,CMP000033,LED003712,,Lead,Sent,
CM001323,CMP000012,LED003712,,Lead,Sent,
CM001324,CMP000008,LED003980,,Lead,Sent,
CM001325,CMP000023,LED003922,,Lead,Attended,2025-10-31
CM001326,CMP000025,LED003922,,Lead,Sent,
CM001327,CMP000001,LED001847,,Lead,Opened,
CM001328,CMP000007,LED000284,,Lead,Sent,
CM001329,CMP000020,LED000284,,Lead,Sent,
CM001331,CMP000033,LED002822,,Lead,Sent,
CM001332,CMP000023,LED002822,,Lead,Clicked,2025-11-06
CM001333,CMP000028,LED001698,,Lead,Opened,
CM001358,CMP000009,LED000210,,Lead,Sent,
CM001361,CMP000007,LED002370,,Lead,Attended,2026-03-17
CM001362,CMP000011,LED002370,,Lead,Sent,
CM001365,CMP000006,LED000949,,Lead,Opened,
CM001376,CMP000036,LED003409,,Lead,Converted,2025-11-17
CM001378,CMP000015,LED003206,,Lead,Clicked,2025-10-12
CM001379,CMP000019,LED003206,,Lead,Opened,
CM001386,CMP000025,LED003861,,Lead,Sent,
CM001387,CMP000009,LED003861,,Lead,Sent,
CM001388,CMP000015,LED003861,,Lead,Clicked,2025-10-19
CM001397,CMP000013,LED003790,,Lead,Opened,
CM001398,CMP000021,LED003790,,Lead,Sent,
CM001402,CMP000033,LED003543,,Lead,Opened,
CM001403,CMP000015,LED002689,,Lead,Attended,2025-09-27
CM001404,CMP000025,LED000279,,Lead,Opened,
CM001407,CMP000014,LED003432,,Lead,Attended,2025-02-26
CM001413,CMP000031,LED002093,,Lead,Clicked,2025-11-17
CM001417,CMP000017,LED000156,,Lead,Sent,
CM001419,CMP000023,LED001171,,Lead,Opened,
CM001420,CMP000018,LED003160,,Lead,Opened,
CM001421,CMP000010,LED003674,,Lead,Attended,2025-12-30
CM001422,CMP000034,LED003674,,Lead,Sent,
